sender_id,receiver_id,timestamp,channel,message_count,duration_minutes,sentiment_score,topic
15,49,2023-01-02 10:00:00,chat,2,5,0.6,benefits_administration
15,50,2023-01-02 10:30:00,email,1,3,0.5,onboarding_process
2,1,2023-01-02 11:00:00,email,1,4,0.6,technical_update
3,1,2023-01-02 11:15:00,email,1,3,0.7,sales_performance
4,1,2023-01-02 11:30:00,email,1,4,0.5,financial_update
5,1,2023-01-02 11:45:00,email,1,3,0.6,hr_update
6,2,2023-01-02 13:00:00,meeting,1,30,0.7,team_performance
7,2,2023-01-02 14:00:00,email,1,4,0.6,project_milestone
8,2,2023-01-02 14:15:00,email,1,3,0.5,qa_metrics
16,6,2023-01-02 15:00:00,chat,2,4,0.7,code_questions
17,6,2023-01-02 15:15:00,chat,3,6,0.6,feature_completion
18,6,2023-01-02 15:30:00,chat,1,2,0.5,bug_status
19,6,2023-01-02 15:45:00,chat,2,4,0.4,assistance_request
20,7,2023-01-02 15:00:00,chat,2,5,0.7,technical_issue
21,7,2023-01-02 15:15:00,chat,1,3,0.6,deployment_question
22,7,2023-01-02 15:30:00,chat,3,7,0.5,learning_resource
23,7,2023-01-02 15:45:00,chat,1,2,0.4,clarification
24,8,2023-01-02 15:00:00,email,1,3,0.6,test_results
25,8,2023-01-02 15:15:00,chat,2,4,0.5,automation_issue
26,8,2023-01-02 15:30:00,chat,1,2,0.4,defect_report
9,3,2023-01-03 09:00:00,meeting,1,30,0.8,regional_performance
10,3,2023-01-03 10:00:00,email,1,3,0.7,market_success
11,3,2023-01-03 10:15:00,email,1,3,0.6,sales_challenges
27,9,2023-01-03 11:00:00,chat,2,5,0.7,client_meeting
28,9,2023-01-03 11:15:00,chat,1,3,0.6,proposal_status
29,9,2023-01-03 11:30:00,chat,3,7,0.5,lead_update
30,9,2023-01-03 11:45:00,chat,1,2,0.4,question
31,10,2023-01-03 11:00:00,chat,2,5,0.8,deal_closing
32,10,2023-01-03 11:15:00,chat,1,3,0.7,client_feedback
33,10,2023-01-03 11:30:00,chat,2,4,0.6,lead_qualification
34,10,2023-01-03 11:45:00,chat,1,2,0.5,process_question
35,11,2023-01-03 13:00:00,chat,2,5,0.7,success_story
36,11,2023-01-03 13:15:00,chat,1,3,0.6,strategy_question
37,11,2023-01-03 13:30:00,chat,2,4,0.5,competitor_insight
38,11,2023-01-03 13:45:00,chat,1,2,0.4,training_question
12,4,2023-01-03 14:00:00,meeting,1,30,0.6,accounting_update
13,4,2023-01-03 15:00:00,email,1,4,0.5,analysis_results
39,12,2023-01-03 15:30:00,chat,2,5,0.6,reconciliation_question
40,12,2023-01-03 15:45:00,chat,1,3,0.5,process_clarification
41,12,2023-01-03 16:00:00,chat,2,4,0.4,invoice_issue
42,13,2023-01-03 15:30:00,chat,2,5,0.6,model_question
43,13,2023-01-03 15:45:00,chat,3,6,0.5,report_draft
44,13,2023-01-03 16:00:00,chat,1,2,0.4,data_request
14,5,2023-01-04 09:00:00,meeting,1,30,0.8,recruiting_update
15,5,2023-01-04 10:00:00,email,1,3,0.7,employee_feedback
45,14,2023-01-04 10:30:00,chat,2,5,0.7,candidate_update
46,14,2023-01-04 10:45:00,chat,1,3,0.6,interview_feedback
47,14,2023-01-04 11:00:00,chat,2,4,0.5,scheduling_issue
48,15,2023-01-04 10:30:00,chat,2,5,0.7,engagement_initiative
49,15,2023-01-04 10:45:00,chat,1,3,0.6,benefits_question
50,15,2023-01-04 11:00:00,chat,2,4,0.5,process_improvement
